betai_mode,betaj_mode,betaij_mode,k_mode,m_mode,betai_low,betaj_low,betaij_low,k_low,m_low,betai_hi,betaj_hi,betaij_hi,k_hi,m_hi,betai,betaj,betaij,k,m,sigma,gamma,Ni,Ei0,Ii0,Ri0,Nj,Ej0,Ij0,Rj0
8.746278283,9.012532537,0.146428188,2.385512896,16.63997017,7.160159615,7.884732401,0.015355163,1.313630069,5.842060528,10.25487644,10.6260687,0.415556102,4.468059415,29.91152537,10.04104074,8.876951583,0.10830829,2.234889489,13.04781811,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.93665581,9.604600328,0.297650761,5.004192727,0.537971979,10.92511924,8.343288543,0.099040311,2.862472717,0.003862201,12.94491997,10.6742361,0.619010791,10.51493091,5.187669462,12.21677432,10.14447102,0.210132769,4.714108402,2.037924288,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.97242437,8.115675049,0.349812258,1.198358318,13.048456,10.26650624,6.053479905,0.056677502,0.698291349,2.645482239,13.99258802,9.98876323,1.250328687,1.808461032,33.59062257,11.86008393,8.944058814,0.327724896,1.464924345,8.265313105,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.53578227,9.396036374,0.074305784,3.806057029,24.85424992,10.51548958,8.36977623,0.00053418,1.989984116,8.912206035,12.90551933,10.85222855,0.188124751,7.484468797,45.17616738,12.13279612,10.04306644,0.117532468,5.068729601,12.39849531,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.01962453,8.788483067,0.127951339,4.093846856,6.029895956,9.580514439,7.61187987,0.000635509,2.210050104,0.804508069,12.09543137,10.38240046,0.397721868,9.393329666,16.40458296,10.68604023,8.108458984,0.168686881,2.84273634,17.26630693,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.882586144,10.36571688,0.257674466,9.736304557,10.41579821,9.016520761,9.74718091,0.102699617,4.655913733,5.30615194,11.20097552,11.28974021,0.455592059,17.09749648,18.23472046,10.43197918,10.37862106,0.20424717,4.410846819,7.636165358,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.09268915,9.786594496,0.414326736,2.414908195,6.270554148,9.444939242,8.828796581,0.09796214,1.387013554,0.177256877,12.49653825,11.04089953,0.987163204,3.68876355,17.05052673,11.91626904,10.43252354,0.234258446,2.735004353,7.495668695,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.1867506,7.861920482,0.225781493,2.585331241,1.840439072,9.783077311,6.007330652,0.014363342,1.507842905,0.003501612,12.30869906,9.659934762,0.626271036,4.761503791,11.02502747,11.37465033,8.817642133,0.202360314,2.420048224,3.69574078,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.01630472,10.3031633,0.115484287,4.802725337,8.435012505,10.20484497,9.473704518,0.00011687,2.01431877,1.382807088,12.35947624,11.35839084,0.318969855,8.745039553,18.74870211,11.46533597,9.470478055,0.264499236,5.717547211,3.794092898,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.0894212,0.855930992,0.002148203,2.51573004,16.42521996,9.575157886,0.002453398,2.68E-05,1.127895134,2.393675229,13.27981535,9.329357885,0.022717045,4.603717032,24.97591058,9.904075865,9.773704121,0.011024149,3.819797192,15.81067637,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.73289328,8.570949936,0.206988478,4.179190828,5.40969044,9.206702069,6.626721858,0.008919238,1.800530298,1.689509514,11.73620356,9.712998331,0.443474109,9.151937385,13.92839699,10.79692778,8.151367626,0.110516373,3.966291298,5.719213574,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.673368587,7.930253092,0.053217333,2.371124938,22.72847919,8.030309258,4.83801985,0.000409988,1.209767847,7.498456297,10.83628215,10.50903627,0.157825622,5.051753625,43.03678818,11.16695698,8.759900784,0.031912549,1.758031361,6.004303738,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.94604195,8.925212629,0.252114128,2.41319417,1.440975613,10.83104263,6.989042579,0.008663607,1.361420678,0.004559423,13.04758811,10.09682504,0.706261765,4.348280861,10.10164686,12.00242016,8.736165555,0.311222522,3.762620424,6.432391764,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.720931568,9.374301007,0.235379855,0.991191322,14.66714053,7.815787238,8.072522837,0.014254174,0.622747918,2.875376191,11.3634569,11.03557518,0.782462497,1.780814534,54.4872176,10.22185478,10.30132237,0.194430136,1.578976183,9.51114419,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.37259209,8.428166328,0.343789993,4.685239514,14.30755618,10.02787834,7.740769235,0.153886712,2.316539015,7.549467066,12.19339057,9.857165132,0.692183723,7.050972029,28.40493563,11.14381989,9.173498065,0.064136567,3.515189084,11.41168926,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.9276983,10.08724069,0.374066764,3.329401109,3.330071764,9.577854591,9.163561873,0.150311336,1.778608853,0.000296989,12.62415115,11.23897694,0.844669251,5.617916485,12.29932329,11.81733928,9.975959685,0.180782752,2.331345859,2.538237569,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.543106247,10.76327182,0.13317599,2.098381237,17.99881791,8.354503785,9.949976397,0.010959748,1.167508068,6.385177455,11.18576046,12.54308784,0.302299137,3.703603427,39.59752244,11.12067991,10.15828306,0.136062955,3.630852903,13.76442816,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.31203008,7.782863418,0.11631548,7.37431452,8.607247224,9.188410104,5.9396404,0.016311237,1.954028907,2.978759235,11.31849301,9.851507495,0.301190969,37.05316959,16.96902119,10.57668936,8.510629125,0.094470146,4.894586066,4.301057644,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.565348567,10.15733942,0.016995441,2.91699483,21.40166429,8.118701269,8.481423898,0.000177193,1.357883982,8.132551692,10.50733185,12.05573931,0.119338954,5.32021605,44.89232964,9.848014115,9.883902773,0.037709517,3.080709633,9.89773032,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.196525699,7.738786481,0.239693334,4.000331949,15.04124732,7.850119404,6.644394332,0.06613002,1.774143427,8.270696122,10.66446689,9.414506773,0.491428736,7.218120989,32.35038737,10.11103388,7.696918086,0.191675482,2.926399677,14.55007593,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.04329207,6.239915813,0.404432322,5.624286454,18.26144739,9.038918494,4.779370762,0.135110935,2.029721189,10.56400581,11.28192548,8.134052595,0.711363002,10.75404905,31.91763107,10.22582707,8.261683701,0.227467514,5.559177493,17.53197917,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
12.45798935,9.691585317,0.17387337,3.221275256,6.675687378,11.32599952,8.649951644,0.039745576,1.81680362,0.370364189,13.61831773,10.95997719,0.411536218,5.267276429,16.43421675,11.60797563,10.01103519,0.266144918,4.524845086,13.56197729,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.93511792,7.462781486,0.289364061,8.033871363,5.129646076,9.530280735,4.582902673,0.014967048,3.1171254,0.838366835,11.80542595,9.516935758,0.626770348,32.85712356,11.1152589,11.7270327,7.862439635,0.242268811,4.387370088,3.384445329,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.14466378,8.275519997,0.294642899,2.301329596,11.32276389,8.834105856,7.354439861,0.095979457,1.335801875,2.312325445,11.6707578,9.860512802,0.830417751,3.651747821,24.9245761,11.29147331,9.387785731,0.300916533,3.205183542,3.572264998,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
8.448043309,7.75968109,0.242045919,1.4546357,10.08571879,6.960466843,6.206327744,0.003357916,0.819711444,1.468090075,10.45817418,9.873626724,0.662126702,2.466511959,26.86196988,10.07974401,8.008590115,0.318053241,1.627041375,7.416676012,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.83375967,3.521201556,0.066543442,3.615654426,8.841189913,9.481529862,0.060235496,0.002939649,1.821615182,2.510896175,11.89255365,9.013544456,0.209454705,10.52635204,20.0174392,11.32970654,7.937153168,0.01747135,3.575762779,6.257687651,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
12.35625232,9.095843692,0.129802994,2.312585975,13.81477671,11.01388628,8.138214029,0.00672803,1.418035189,4.077383006,13.6644546,10.81709649,0.31900454,3.677973747,33.07551019,11.64865051,9.014407572,0.259132605,1.979579305,15.23672641,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.65325291,8.335501222,0.452566606,1.975668187,27.03407186,8.788675688,7.186190182,0.11102925,1.09551399,11.61519299,12.13031955,9.535494359,0.986425994,2.931292646,52.9080299,12.03630056,9.591614028,0.094858519,2.416289842,6.79055003,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.885835012,5.068482976,0.133036569,2.02637396,5.127565868,8.222755338,0.00143607,0.0038299,0.893579212,0.460578548,11.1142461,7.713191097,0.619828658,4.210696739,20.96137873,9.812050401,7.846114907,0.068700439,2.075615409,7.846642782,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.6015782,10.1956276,0.214250633,6.038988251,14.40726212,9.190545219,9.326317652,0.041901554,3.064141154,5.168185324,11.67763027,11.1025302,0.418758849,11.4825879,22.80262132,11.05940054,10.27086562,0.22993068,5.017741127,12.84981371,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.15621625,8.034527178,0.293308183,6.170164563,10.04456045,10.12215243,6.968075825,0.107334806,3.373002222,4.556806501,12.1965234,9.389785291,0.567488122,11.75413101,18.69975095,10.82973546,8.853881646,0.320636274,4.79923299,13.51340161,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.01466402,8.634650103,0.112034581,3.557316444,1.453728169,9.666176163,7.598417417,3.24E-05,1.66483725,0.00097928,11.96209532,10.4285527,0.28115359,6.325065242,12.15377237,10.52260361,9.116879994,0.114471418,3.138236609,5.085190331,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.22499065,8.602462691,0.190630178,3.596345518,11.70174215,10.17673457,7.375252462,0.041777302,1.81669651,4.576946569,12.57175893,10.08804374,0.492996138,6.449241971,26.04434961,11.89722375,8.317308662,0.163210375,5.209151605,15.65707536,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.43952137,8.662162489,0.261075095,4.748691111,3.443951026,10.3730698,7.465819478,0.060064067,2.594360277,0.112106606,12.67625956,9.849098676,0.524790853,7.972858733,11.99004303,11.57747611,9.160447771,0.289274778,4.252852096,7.068060493,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.7498064,8.292763955,0.372064612,4.29252352,8.145602475,10.67566326,7.311997836,0.175539842,2.477002877,2.907546903,12.79016901,9.451378045,0.735605891,7.861178,18.63045618,10.99661538,8.042021669,0.322137029,4.302673833,15.56044948,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
8.616501516,6.164909212,0.285695218,1.547238859,6.051620779,6.641321158,4.211182752,0.005603488,0.779961742,0.087093183,10.5348237,8.776563115,0.81133205,3.100935476,26.68107941,9.925092094,8.236507511,0.206828996,1.806904702,2.189632467,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.97670383,7.573499335,0.085329474,2.452797138,22.91460693,9.523386803,5.844580759,0.006315996,1.324723478,8.725824744,11.96970902,9.71203204,0.250664209,4.405010259,48.6450651,11.52197623,8.594590361,0.089345021,2.980336681,11.83653782,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.451953311,10.01434246,0.056311773,3.949352954,11.94325774,8.138079971,8.011711486,0.000564313,1.716203742,5.591440396,10.59053241,11.45474272,0.186990531,8.801786723,24.02795612,10.87884537,10.1047973,0.087173426,4.962036922,6.95885041,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.10817792,8.174800551,0.082212688,2.632219356,12.21039285,8.804598264,6.055823445,0.000115532,1.043645689,3.652461399,11.38107591,10.21614482,0.208397578,4.651865987,27.65296924,11.0853305,9.418248655,0.045112502,2.520386022,8.07290254,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
12.71784178,9.453752821,0.200815002,7.658922304,4.700307869,11.75828182,8.369014309,0.030618625,4.668509035,0.026416194,13.67935452,10.52974767,0.419166066,16.95107999,10.47271135,12.21528343,9.832901094,0.129113656,5.423002643,4.654673449,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
13.43175788,9.027529717,0.145123931,1.293004389,3.38143248,11.72754355,6.734308441,0.000298545,0.841443311,0.014800947,14.97571591,10.87692189,0.559684155,2.229352229,18.64178799,12.18748503,9.636214915,0.160982413,2.023387213,9.628905188,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.35504228,9.871473209,0.011089146,1.725715553,17.49888336,9.243076731,8.360318003,0.0002533,0.931611634,8.558524428,11.92695207,12.44502632,0.055654215,2.647677013,55.04764129,11.17354748,8.197632896,0.059458235,2.283806861,17.79487876,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.11771091,8.674706361,0.042381214,1.956995992,4.198602664,9.819624095,6.218070966,0.000563763,1.112800725,0.019908148,12.42889953,10.88194131,0.129678773,3.641638969,16.15439182,11.22224477,8.800217202,0.05395038,2.811869049,4.163112784,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
9.543764166,8.498379761,0.612863886,3.478926434,22.45492441,8.338394571,7.664641673,0.291503098,1.836324382,11.57032325,11.1160199,9.533449467,1.091647903,5.295200525,44.2783064,11.00600428,9.086925484,0.280446627,3.886101284,11.92570311,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.54103297,5.94533027,0.132153156,10.36909409,16.94780512,10.40368958,2.480507691,0.013340915,2.994188374,9.913275774,12.37852523,8.788665753,0.322560454,40.19805957,26.27068145,10.71637252,9.927372036,0.002256509,4.630316316,17.85692936,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
12.32878483,9.842764855,0.179603886,4.958673295,17.51872004,11.20658366,8.836581201,0.070502656,2.53749341,9.582637107,13.46281826,10.63817206,0.357034282,7.575860244,29.57174398,11.46170248,9.72363011,0.253693366,5.281500868,16.5106724,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.41809757,3.693605402,0.002370414,13.59906238,6.657799573,10.48824495,0.093227719,1.68E-05,1.85930416,2.798838594,12.4895963,10.15856665,0.024604706,43.63060936,13.61300442,11.5399249,7.762143886,0.005898624,5.341700443,5.280054751,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
11.88804287,10.56135064,0.189033097,5.35931077,9.109611786,10.96745476,9.604262691,0.032519513,3.158693327,4.409542334,13.17108134,11.34336395,0.401043576,9.830727191,20.63704727,12.15894149,10.19277781,0.247078633,5.457899074,5.592991841,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
10.69341078,9.608250534,0.076809305,3.18311706,9.527493894,9.482060151,8.235164091,0.001309989,1.521953844,0.848741146,11.97587749,11.07587145,0.27012348,5.197362461,20.05659539,10.90968484,9.863292528,0.155171476,4.118228953,10.04033735,1.949860724,1.966292135,14254,103,103,584,20785,2,2,852
